timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728682734227,184,getAllProducts-1,200,OK,150 Users 1-30,text,true,,5099,236,100,100,https://fakestoreapi.com/products,184,0,0
1728682734227,184,getAllProducts-1,200,OK,150 Users 1-1,text,true,,5109,236,100,100,https://fakestoreapi.com/products,184,0,0
1728682734095,307,getAllProducts-1,200,OK,150 Users 1-25,text,true,,5105,236,100,100,https://fakestoreapi.com/products,307,0,0
1728682734141,261,getAllProducts-1,200,OK,150 Users 1-75,text,true,,5103,236,100,100,https://fakestoreapi.com/products,261,0,0
1728682734215,186,getAllProducts-1,200,OK,150 Users 1-55,text,true,,5109,236,100,100,https://fakestoreapi.com/products,186,0,0
1728682734215,185,getAllProducts-1,200,OK,150 Users 1-82,text,true,,5107,236,100,100,https://fakestoreapi.com/products,185,0,0
1728682734200,200,getAllProducts-1,200,OK,150 Users 1-42,text,true,,5099,236,100,100,https://fakestoreapi.com/products,200,0,0
1728682734113,279,getAllProducts-1,200,OK,150 Users 1-32,text,true,,5115,236,100,100,https://fakestoreapi.com/products,279,0,0
1728682734107,284,getAllProducts-1,200,OK,150 Users 1-15,text,true,,5111,236,100,100,https://fakestoreapi.com/products,284,0,0
1728682733801,590,addProduct-3,200,OK,150 Users 1-84,text,true,,848,473,100,100,https://fakestoreapi.com/products,590,0,364
1728682733767,622,addProduct-3,200,OK,150 Users 1-24,text,true,,841,473,100,100,https://fakestoreapi.com/products,622,0,345
1728682733777,605,addProduct-3,200,OK,150 Users 1-31,text,true,,841,473,100,100,https://fakestoreapi.com/products,605,0,388
1728682734182,191,getAllProducts-1,200,OK,150 Users 1-54,text,true,,5113,236,100,100,https://fakestoreapi.com/products,191,0,0
1728682734097,274,getAllProducts-1,200,OK,150 Users 1-95,text,true,,5109,236,100,100,https://fakestoreapi.com/products,274,0,0
1728682733781,587,addProduct-3,200,OK,150 Users 1-18,text,true,,843,473,100,100,https://fakestoreapi.com/products,587,0,382
1728682733776,591,addProduct-3,200,OK,150 Users 1-92,text,true,,843,473,100,100,https://fakestoreapi.com/products,591,0,383
1728682733783,583,addProduct-3,200,OK,150 Users 1-5,text,true,,845,473,100,100,https://fakestoreapi.com/products,583,0,376
1728682734047,280,getAllProducts-1,200,OK,150 Users 1-100,text,true,,5111,236,100,100,https://fakestoreapi.com/products,280,0,0
1728682734127,196,getAllProducts-1,200,OK,150 Users 1-91,text,true,,5109,236,100,100,https://fakestoreapi.com/products,196,0,0
1728682734116,207,getAllProducts-1,200,OK,150 Users 1-19,text,true,,5117,236,100,100,https://fakestoreapi.com/products,207,0,0
1728682733716,600,addProduct-3,200,OK,150 Users 1-51,text,true,,843,473,100,100,https://fakestoreapi.com/products,600,0,368
1728682734241,203,getAllProducts-1,200,OK,150 Users 1-69,text,true,,5105,236,100,100,https://fakestoreapi.com/products,203,0,0
1728682734244,202,getAllProducts-1,200,OK,150 Users 1-96,text,true,,5101,236,100,100,https://fakestoreapi.com/products,202,0,0
1728682733795,651,addProduct-3,200,OK,150 Users 1-49,text,true,,841,473,100,100,https://fakestoreapi.com/products,651,0,396
1728682734245,201,getAllProducts-1,200,OK,150 Users 1-14,text,true,,5165,236,100,100,https://fakestoreapi.com/products,201,0,0
1728682734263,186,getAllProducts-1,200,OK,150 Users 1-29,text,true,,5101,236,100,100,https://fakestoreapi.com/products,186,0,0
1728682734135,323,getAllProducts-1,200,OK,150 Users 1-78,text,true,,5115,236,100,100,https://fakestoreapi.com/products,323,0,0
1728682733790,669,addProduct-3,200,OK,150 Users 1-27,text,true,,848,473,100,100,https://fakestoreapi.com/products,669,0,409
